6 bedroom terraced house for sale,/property-for-sale/property-68883429.html,"Montpelier Square, Knightsbridge, London, SW7","£18,500,000","Occupying an elevated south facing position, this elegant Georgian house enjoys an abundance of natural light, with many of the principal rooms benefiting from an exceptional outlook across the tranquillity of a Georgian garden square mixed with the vitality and excitement of Montpelier Street.","Added on 06/03/2020 by Hamptons International Sales, Knightsbridge"
6 bedroom terraced house for sale,/property-for-sale/property-65318295.html,"Harley Street, Marylebone, London, W1G","£18,500,000",Arguably one of Marylebone’s finest townhouses,"Added on 25/09/2019 by Savills, Marylebone"
5 bedroom flat for sale,/property-for-sale/property-88635479.html,"Chesham Place, London","£18,500,000",A superb lateral apartment on the fourth floor of this luxury boutique development in the very heart of Belgravia.,"Added on 08/01/2020 by Strutt & Parker, Knightsbridge"
4 bedroom apartment for sale,/property-for-sale/property-97167740.html,"Pont Street, Knightsbridge SW1X","£18,000,000","Situated in the heart of Knightsbridge this meticulously refurbished 4 bedroom apartment is the culmination of classic meets contemporary and the epitome of luxury London living. The property boasts grand proportions, high ceilings of up to 4 meters, and bespoke modern features.","Added on 11/09/2020 by Rokstone, London"
8 bedroom detached house for sale,/property-for-sale/property-97659548.html,"Redington Road, London, NW3",POA,"An exceptional, recently extended and totally refurbished detached family house offering exquisite well proportioned, accommodation extending to approximately 14,000 sq ft.","Added on 24/09/2020 by Marcus Parfitt Residential Sales, London"
6 bedroom detached house for sale,/property-for-sale/property-97034117.html,"Clare Lawn Avenue, London, SW14",POA,An exceptional and exquisite modernist house set in a south-facing plot approaching three acres bordering and overlooking Richmond Park complete with stables and paddock.,"Added on 08/09/2020 by Savills, East Sheen"
3 bedroom flat for sale,/property-for-sale/property-78938236.html,"One Kensington Gardens, Kensington Road, London W8","£18,000,000",An exceptional three bedroom lateral apartment with views over Kensington Gardens within a development of 97 residences designed by award-winning architect David Chipperfield. Ready for occupation. ,"Added on 15/04/2020 by Strutt & Parker, London - New Homes"
6 bedroom terraced house for sale,/property-for-sale/property-95953784.html,"Hanover Terrace, London, NW1","£17,950,000","Built in 1822 occupying a prominent position within a grand Nash Terrace. Set over five ample floors, this impressive property benefits from a separate mews house offers panoramic views of Regent’s Park. Boasting five spacious bedrooms, the principal en suite bedroom located on the entirety o...","Added on 11/08/2020 by Beauchamp Estates, London"
6 bedroom detached house for sale,/property-for-sale/property-71566969.html,"Ingram Avenue, Hampstead, London, NW11","£17,950,000","A stunning newly built luxury home of grand proportions totalling 14,358 sq ft. This must-see masterpiece is set on Ingram Avenue, a highly sought-after leafy road in Hampstead Garden Suburb which is defined by absolute privacy by backing directly onto Turners Wood Bird Sanctuary. The property is...","Reduced on 01/06/2020 by Sotheby's International Realty, London"
6 bedroom town house for sale,/property-for-sale/property-73090962.html,"Queen Anne's Gate, London, SW1H","£17,950,000","An exceptionally elegant, recently restored Freehold house with views of St James's Park . The property benefits from lateral space due to the four windows width and has fantastic views over Birdcage Walk and St James's Park.
The original grand staircase sweeps up from the entrance hall to the g...","Added on 08/09/2020 by Knight Frank, Belgravia, covering Westminster"
5 bedroom house for sale,/property-for-sale/property-80431729.html,"Old Queen Street, London, SW1H","£17,750,000","This magnificent five-bedroom Old Queen Street townhouse accommodates over an ample eight floors and provides 6,608 sq ft of luxurious living space with a private rear garden. Set within a Grade II listed Georgian residence in one of the finest architecturally significant streets in St. Jamess Pa...","Added on 03/06/2020 by Beauchamp Estates Ltd, Mayfair - Resale"
6 bedroom terraced house for sale,/property-for-sale/property-82076665.html,"Old Queen Street, St. James's Park, London, SW1H","£17,750,000","An exceptional Grade II listed period house, overlooking Birdcage Walk and the Royal Park.This magnificent five-bedroom Old Queen Street townhouse provides approximately 6,608 sq ft of luxurious living space with a private rear garden. Set within a Grade II listed Georgian residence in one of ...","Added on 13/07/2020 by Knight Frank, Belgravia, covering Westminster"
